t_ms,event,idx,delta_ms,vbat
2145,sample,1,0,2996
2857,reset_usb,0,0,0
2857,sample,1,712,2764
2921,sample,2,64,2740
3060,sample,3,139,2724
3218,sample,4,158,2716
3382,sample,5,164,2716
3883,sample,6,501,2708
4044,sample,7,161,2724
4209,sample,8,165,2724
4363,sample,9,154,2716
4530,sample,10,167,2716
5573,sample,11,1043,2716
6700,sample,12,1127,2716
7393,sample,13,693,2708
7558,sample,14,165,2708
7697,sample,15,139,2708
8758,sample,16,1061,2708
9572,reset_runstart,0,0,0
9573,sample,1,815,2708
9573,sample,2,0,2708
9583,sample,3,10,2708
9633,sample,4,50,2700
9685,sample,5,52,2692
9789,sample,6,104,2692
9892,sample,7,103,2692
9996,sample,8,104,2692
10096,sample,9,100,2684
10196,sample,10,100,2684
10296,sample,11,100,2676
10396,sample,12,100,2676
10496,sample,13,100,2676
10596,sample,14,100,2676
10696,sample,15,100,2668
11696,sample,16,1000,2668
14196,sample,16,2500,2668
16696,sample,16,2500,2668
19391,sample,16,2695,2692
19994,reset_runstart,0,0,0
20003,sample,1,612,2692
20004,sample,2,1,2692
20005,sample,3,1,2684
20055,sample,4,50,2684
20105,sample,5,50,2676
20205,sample,6,100,2676
20305,sample,7,100,2676
20405,sample,8,100,2668
20505,sample,9,100,2668
20605,sample,10,100,2668
20705,sample,11,100,2660
20805,sample,12,100,2660
20905,sample,13,100,2660
21005,sample,14,100,2660
21105,sample,15,100,2660
22105,sample,16,1000,2660
24605,sample,16,2500,2652
27105,sample,16,2500,2652
29700,sample,16,2595,2684
32283,sample,16,2583,2684
34155,reset_runstart,0,0,0
34165,sample,1,1882,2684
34165,sample,2,0,2684
34166,sample,3,1,2676
34216,sample,4,50,2676
34266,sample,5,50,2668
34366,sample,6,100,2668
34466,sample,7,100,2668
34566,sample,8,100,2660
34666,sample,9,100,2660
34766,sample,10,100,2660
34866,sample,11,100,2660
34966,sample,12,100,2652
35066,sample,13,100,2652
35166,sample,14,100,2652
35266,sample,15,100,2652
36266,sample,16,1000,2652
38766,sample,16,2500,2652
41266,sample,16,2500,2644
43788,reset_runstart,0,0,0
43797,sample,1,2531,2676
43798,sample,2,1,2676
43799,sample,3,1,2668
43849,sample,4,50,2668
43899,sample,5,50,2668
43999,sample,6,100,2660
44099,sample,7,100,2660
44199,sample,8,100,2660
44299,sample,9,100,2652
44399,sample,10,100,2652
44499,sample,11,100,2652
44599,sample,12,100,2652
44699,sample,13,100,2652
44799,sample,14,100,2652
44899,sample,15,100,2652
45899,sample,16,1000,2644
48399,sample,16,2500,2644
50899,sample,16,2500,2644
53471,sample,16,2572,2684
55163,reset_runstart,0,0,0
55173,sample,1,1702,2676
55174,sample,2,1,2676
55174,sample,3,0,2676
55229,sample,4,55,2676
55279,sample,5,50,2668
55379,sample,6,100,2668
55479,sample,7,100,2660
55579,sample,8,100,2660
55679,sample,9,100,2660
55779,sample,10,100,2652
55879,sample,11,100,2652
55979,sample,12,100,2652
56079,sample,13,100,2652
56179,sample,14,100,2652
56279,sample,15,100,2652
57279,sample,16,1000,2652
59779,sample,16,2500,2644
62279,sample,16,2500,2644
64806,sample,16,2527,2684
67389,sample,16,2583,2684
69327,reset_runstart,0,0,0
69337,sample,1,1948,2684
69338,sample,2,1,2684
69338,sample,3,0,2676
69388,sample,4,50,2676
69438,sample,5,50,2668
69538,sample,6,100,2668
69638,sample,7,100,2660
69738,sample,8,100,2660
69838,sample,9,100,2660
69938,sample,10,100,2660
70038,sample,11,100,2652
70138,sample,12,100,2652
70238,sample,13,100,2652
70338,sample,14,100,2652
70438,sample,15,100,2652
71438,sample,16,1000,2652
73938,sample,16,2500,2644
76438,sample,16,2500,2644
79124,reset_runstart,0,0,0
79134,sample,1,2696,2676
79135,sample,2,1,2676
79135,sample,3,0,2668
79185,sample,4,50,2668
79235,sample,5,50,2668
